TIME,BARALT,MBS,AIRT,DRAD,LAT,LON,GPS,ALT
17:38:29,121790.0,4.16,-31.1,32.8,35.495,-105.45333333333333,37433.0,
17:39:29,121565.0,4.2,-31.3,32.3,35.50333333333333,-105.44166666666666,37381.0,
17:40:29,121509.0,4.21,-30.0,32.3,35.51,-105.43333333333334,37326.0,
17:41:29,121509.0,4.21,-29.7,32.3,35.51833333333333,-105.42166666666667,37320.0,
17:42:29,121733.0,4.17,-29.5,32.8,35.526666666666664,-105.41,37370.0,
17:43:29,121960.0,4.13,-29.1,33.3,35.535,-105.39833333333333,37433.0,
17:44:29,122017.0,4.12,-28.7,33.8,35.541666666666664,-105.38833333333334,37462.0,
17:45:29,121960.0,4.13,-30.0,33.3,35.55,-105.37666666666667,37455.0,
17:46:29,121790.0,4.16,-31.9,33.3,35.556666666666665,-105.365,37422.0,
17:47:29,121677.0,4.18,-32.7,34.9,35.565,-105.35333333333334,37374.0,
17:48:29,121677.0,4.18,-33.0,32.8,35.571666666666665,-105.34166666666667,37359.0,
17:49:29,121847.0,4.15,-33.9,33.3,35.57833333333333,-105.33166666666666,37397.0,
17:50:29,122017.0,4.12,-32.3,32.3,35.586666666666666,-105.32,37450.0,
17:51:29,122074.0,4.11,-33.2,29.5,35.593333333333334,-105.30666666666667,37484.0,
17:52:29,121847.0,4.15,-31.9,27.7,35.60166666666667,-105.295,37443.0,
17:53:29,121453.0,4.22,-32.5,22.8,35.608333333333334,-105.28333333333333,37332.0,
17:54:29,121398.0,4.23,-33.2,20.3,35.61666666666667,-105.27,37270.0,
17:55:29,121677.0,4.18,-33.2,18.6,35.625,-105.25666666666666,37317.0,
17:56:29,121903.0,4.14,-33.3,18.9,35.63166666666667,-105.24333333333334,37400.0,
17:57:29,121847.0,4.15,-33.4,21.0,35.64,-105.23166666666667,37410.0,
17:58:29,121790.0,4.16,-33.3,22.8,35.64666666666667,-105.21833333333333,37389.0,
17:59:30,121790.0,4.16,-33.0,25.2,35.656666666666666,-105.20333333333333,37378.0,
18:00:30,121790.0,4.16,-32.9,27.3,35.663333333333334,-105.19,37387.0,
18:01:30,121733.0,4.17,-32.5,28.6,35.67166666666667,-105.17833333333333,37372.0,
18:02:30,121733.0,4.17,-32.2,29.9,35.678333333333335,-105.165,37352.0,
18:03:30,121903.0,4.14,-32.8,30.9,35.68666666666667,-105.15333333333334,37386.0,
18:04:30,122017.0,4.12,-34.4,31.4,35.695,-105.13833333333334,37440.0,
18:05:30,122074.0,4.11,-34.8,31.8,35.70166666666667,-105.125,37464.0,
18:06:30,121960.0,4.13,-34.7,31.9,35.71,-105.11166666666666,37450.0,
18:07:30,121677.0,4.18,-34.4,32.3,35.71666666666667,-105.1,37386.0,
18:08:30,121509.0,4.21,-33.4,32.8,35.723333333333336,-105.08666666666667,37307.0,
18:09:30,121621.0,4.19,-32.6,33.3,35.73,-105.075,37304.0,
18:10:30,121847.0,4.15,-34.0,33.9,35.736666666666665,-105.06166666666667,37370.0,
18:11:30,121903.0,4.14,-35.0,33.3,35.745,-105.04833333333333,37414.0,
18:12:30,121733.0,4.17,-34.7,36.5,35.751666666666665,-105.03833333333333,37392.0,
18:13:30,121565.0,4.2,-33.7,33.9,35.76,-105.02333333333333,37327.0,
